# generation | ind | opp0 opp1 ... oppN
generation 0
  ind 7: opp0=43  opp1=32  opp2=37  opp3=36  opp4=41  opp5=40  opp6=42  opp7=31  opp8=38  opp9=43  opp10=34  opp11=30  opp12=38  opp13=35  opp14=40

generation 11
  ind 0: opp0=38  opp1=36  opp2=35  opp3=38  opp4=39  opp5=31  opp6=37  opp7=30  opp8=40  opp9=46  opp10=39  opp11=34  opp12=38  opp13=37  opp14=35
  ind 1: opp0=48  opp1=38  opp2=40  opp3=38  opp4=48  opp5=34  opp6=40  opp7=41  opp8=36  opp9=33  opp10=35  opp11=33  opp12=37  opp13=37  opp14=43
  ind 2: opp0=27  opp1=27  opp2=33  opp3=37  opp4=41  opp5=41  opp6=40  opp7=36  opp8=33  opp9=33  opp10=41  opp11=41  opp12=48  opp13=38  opp14=37
  ind 3: opp0=35  opp1=36  opp2=31  opp3=38  opp4=48  opp5=35  opp6=38  opp7=43  opp8=31  opp9=35  opp10=35  opp11=34  opp12=33  opp13=40  opp14=38
  ind 4: opp0=35  opp1=44  opp2=34  opp3=37  opp4=43  opp5=42  opp6=30  opp7=32  opp8=36  opp9=35  opp10=41  opp11=40  opp12=26  opp13=34  opp14=34
  ind 5: opp0=45  opp1=37  opp2=38  opp3=31  opp4=45  opp5=33  opp6=30  opp7=31  opp8=36  opp9=41  opp10=31  opp11=30  opp12=36  opp13=35  opp14=38
  ind 6: opp0=29  opp1=32  opp2=41  opp3=43  opp4=47  opp5=39  opp6=35  opp7=33  opp8=34  opp9=40  opp10=33  opp11=31  opp12=35  opp13=44  opp14=32
  ind 7: opp0=47  opp1=32  opp2=38  opp3=45  opp4=44  opp5=35  opp6=36  opp7=32  opp8=40  opp9=41  opp10=43  opp11=37  opp12=44  opp13=28  opp14=43

generation 12
  ind 0: opp0=46  opp1=33  opp2=35  opp3=35  opp4=41  opp5=36  opp6=39  opp7=35  opp8=35  opp9=32  opp10=33  opp11=36  opp12=37  opp13=37  opp14=41
  ind 1: opp0=36  opp1=38  opp2=32  opp3=43  opp4=43  opp5=39  opp6=33  opp7=40  opp8=38  opp9=41  opp10=41  opp11=41  opp12=30  opp13=36  opp14=37
  ind 2: opp0=33  opp1=35  opp2=37  opp3=37  opp4=49  opp5=34  opp6=34  opp7=34  opp8=30  opp9=34  opp10=39  opp11=38  opp12=42  opp13=38  opp14=41
  ind 3: opp0=31  opp1=37  opp2=31  opp3=36  opp4=47  opp5=35  opp6=35  opp7=24  opp8=29  opp9=34  opp10=43  opp11=43  opp12=33  opp13=35  opp14=35
  ind 4: opp0=36  opp1=37  opp2=32  opp3=38  opp4=41  opp5=30  opp6=42  opp7=38  opp8=32  opp9=37  opp10=41  opp11=33  opp12=31  opp13=42  opp14=38
  ind 5: opp0=34  opp1=34  opp2=29  opp3=35  opp4=45  opp5=33  opp6=36  opp7=34  opp8=39  opp9=33  opp10=40  opp11=22  opp12=42  opp13=34  opp14=39
  ind 6: opp0=33  opp1=31  opp2=40  opp3=34  opp4=35  opp5=34  opp6=39  opp7=34  opp8=32  opp9=35  opp10=32  opp11=39  opp12=25  opp13=45  opp14=34
  ind 7: opp0=41  opp1=47  opp2=36  opp3=33  opp4=47  opp5=42  opp6=37  opp7=25  opp8=37  opp9=39  opp10=32  opp11=26  opp12=37  opp13=36  opp14=31

generation 13
  ind 0: opp0=40  opp1=33  opp2=33  opp3=36  opp4=46  opp5=35  opp6=30  opp7=38  opp8=40  opp9=41  opp10=40  opp11=35  opp12=39  opp13=37  opp14=39
  ind 1: opp0=46  opp1=36  opp2=42  opp3=39  opp4=44  opp5=35  opp6=40  opp7=33  opp8=38  opp9=42  opp10=32  opp11=32  opp12=40  opp13=41  opp14=37
  ind 2: opp0=42  opp1=38  opp2=39  opp3=34  opp4=39  opp5=38  opp6=32  opp7=24  opp8=30  opp9=35  opp10=46  opp11=37  opp12=32  opp13=41  opp14=38
  ind 3: opp0=38  opp1=35  opp2=36  opp3=39  opp4=41  opp5=40  opp6=30  opp7=31  opp8=30  opp9=43  opp10=32  opp11=41  opp12=37  opp13=36  opp14=33
  ind 4: opp0=37  opp1=32  opp2=41  opp3=42  opp4=50  opp5=40  opp6=35  opp7=35  opp8=27  opp9=36  opp10=40  opp11=33  opp12=39  opp13=33  opp14=31
  ind 5: opp0=44  opp1=28  opp2=31  opp3=41  opp4=43  opp5=39  opp6=28  opp7=34  opp8=29  opp9=38  opp10=38  opp11=30  opp12=29  opp13=37  opp14=38
  ind 6: opp0=39  opp1=33  opp2=42  opp3=42  opp4=44  opp5=35  opp6=29  opp7=31  opp8=41  opp9=32  opp10=41  opp11=38  opp12=30  opp13=32  opp14=36
  ind 7: opp0=38  opp1=42  opp2=36  opp3=37  opp4=46  opp5=36  opp6=26  opp7=33  opp8=35  opp9=38  opp10=32  opp11=35  opp12=34  opp13=41  opp14=33

generation 14
  ind 0: opp0=41  opp1=35  opp2=44  opp3=41  opp4=47  opp5=31  opp6=39  opp7=36  opp8=34  opp9=38  opp10=35  opp11=38  opp12=48  opp13=40  opp14=37
  ind 1: opp0=41  opp1=35  opp2=40  opp3=36  opp4=44  opp5=32  opp6=32  opp7=32  opp8=36  opp9=39  opp10=38  opp11=38  opp12=38  opp13=31  opp14=42
  ind 2: opp0=49  opp1=36  opp2=38  opp3=37  opp4=46  opp5=32  opp6=29  opp7=41  opp8=36  opp9=39  opp10=34  opp11=40  opp12=40  opp13=32  opp14=36
  ind 3: opp0=47  opp1=36  opp2=41  opp3=38  opp4=46  opp5=38  opp6=38  opp7=34  opp8=35  opp9=30  opp10=45  opp11=31  opp12=35  opp13=35  opp14=44
  ind 4: opp0=49  opp1=39  opp2=36  opp3=33  opp4=43  opp5=35  opp6=42  opp7=33  opp8=40  opp9=36  opp10=32  opp11=31  opp12=36  opp13=41  opp14=39
  ind 5: opp0=44  opp1=41  opp2=38  opp3=39  opp4=46  opp5=42  opp6=43  opp7=39  opp8=35  opp9=33  opp10=38  opp11=26  opp12=35  opp13=38  opp14=37
  ind 6: opp0=34  opp1=36  opp2=33  opp3=38  opp4=42  opp5=39  opp6=36  opp7=32  opp8=34  opp9=34  opp10=33  opp11=34  opp12=30  opp13=32  opp14=33
  ind 7: opp0=36  opp1=36  opp2=38  opp3=43  opp4=44  opp5=34  opp6=36  opp7=38  opp8=36  opp9=40  opp10=41  opp11=41  opp12=33  opp13=44  opp14=41

generation 15
  ind 0: opp0=40  opp1=34  opp2=39  opp3=39  opp4=36  opp5=34  opp6=38  opp7=41  opp8=36  opp9=32  opp10=38  opp11=29  opp12=37  opp13=32  opp14=36
  ind 1: opp0=41  opp1=44  opp2=40  opp3=34  opp4=31  opp5=38  opp6=34  opp7=33  opp8=33  opp9=36  opp10=35  opp11=33  opp12=36  opp13=40  opp14=41
  ind 2: opp0=33  opp1=34  opp2=41  opp3=38  opp4=34  opp5=45  opp6=37  opp7=33  opp8=34  opp9=35  opp10=30  opp11=38  opp12=41  opp13=40  opp14=42
  ind 3: opp0=34  opp1=32  opp2=34  opp3=39  opp4=41  opp5=39  opp6=33  opp7=42  opp8=33  opp9=37  opp10=38  opp11=29  opp12=35  opp13=27  opp14=37
  ind 4: opp0=38  opp1=36  opp2=30  opp3=37  opp4=39  opp5=36  opp6=30  opp7=34  opp8=35  opp9=32  opp10=39  opp11=31  opp12=39  opp13=36  opp14=36
  ind 5: opp0=37  opp1=36  opp2=34  opp3=39  opp4=43  opp5=33  opp6=38  opp7=37  opp8=39  opp9=39  opp10=48  opp11=35  opp12=35  opp13=35  opp14=35
  ind 6: opp0=31  opp1=40  opp2=38  opp3=42  opp4=25  opp5=38  opp6=39  opp7=37  opp8=34  opp9=36  opp10=48  opp11=32  opp12=32  opp13=37  opp14=41
