# generation, individual_idx, wins_vs_opp0, wins_vs_opp1, ...
generation 0
  ind 3: opp0=33  opp1=12  opp2=13  opp3=11  opp4=16  opp5=17  opp6=4  opp7=17  opp8=13  opp9=28  opp10=16  opp11=16  opp12=11  opp13=8  opp14=11
  ind 4: opp0=4  opp1=1  opp2=2  opp3=0  opp4=5  opp5=2  opp6=2  opp7=2  opp8=0  opp9=4  opp10=1  opp11=1  opp12=1  opp13=0  opp14=1
  ind 5: opp0=20  opp1=15  opp2=14  opp3=8  opp4=9  opp5=9  opp6=7  opp7=8  opp8=16  opp9=16  opp10=14  opp11=10  opp12=9  opp13=13  opp14=9
  ind 6: opp0=54  opp1=32  opp2=40  opp3=35  opp4=35  opp5=31  opp6=24  opp7=28  opp8=35  opp9=41  opp10=28  opp11=23  opp12=30  opp13=25  opp14=25
  ind 7: opp0=49  opp1=32  opp2=23  opp3=30  opp4=32  opp5=29  opp6=20  opp7=29  opp8=27  opp9=37  opp10=30  opp11=27  opp12=27  opp13=24  opp14=23

generation 6
  ind 0: opp0=50  opp1=23  opp2=28  opp3=28  opp4=41  opp5=35  opp6=24  opp7=28  opp8=19  opp9=41  opp10=23  opp11=34  opp12=27  opp13=29  opp14=33
  ind 1: opp0=33  opp1=17  opp2=13  opp3=9  opp4=23  opp5=17  opp6=15  opp7=10  opp8=15  opp9=26  opp10=13  opp11=13  opp12=17  opp13=18  opp14=16
  ind 2: opp0=48  opp1=27  opp2=33  opp3=32  opp4=37  opp5=21  opp6=25  opp7=34  opp8=22  opp9=34  opp10=31  opp11=25  opp12=26  opp13=23  opp14=26
  ind 3: opp0=44  opp1=28  opp2=27  opp3=28  opp4=35  opp5=28  opp6=18  opp7=20  opp8=23  opp9=32  opp10=24  opp11=15  opp12=24  opp13=28  opp14=19
  ind 4: opp0=10  opp1=5  opp2=2  opp3=4  opp4=4  opp5=2  opp6=5  opp7=0  opp8=4  opp9=4  opp10=2  opp11=2  opp12=2  opp13=3  opp14=4
  ind 5: opp0=12  opp1=6  opp2=10  opp3=11  opp4=23  opp5=16  opp6=10  opp7=16  opp8=10  opp9=12  opp10=16  opp11=7  opp12=10  opp13=15  opp14=9
