1, 2, -153.0, [0.07211170398625577, 0.3649990781037382, 0.7271313039936015, 0.9644724658805189, 0.3713171048516066, 0.8090458936900081, 0.04984799021848796, 0.4042942239153913, 0.1084994193655685, 0.7498797434314664, 0.38828646515051923, 0.8188872258885226, 0.338696261411111, 0.7018766882355512, 0.10565407345028743, 0.5862071341542706, 0.5839058031485811, 0.8417461834319231, 0.23793558836683182, 0.28714528249925986, 0.936023536584559], TOTAL_WINS: 153, WINS_PER_OPP: 23,7,16,9,17,5,5,8,11,9,6,9,8,16,4
1, 3, -249.0, [0.6996412495269643, 0.5024835231133723, 0.5052744851136537, 0.5885249196859771, 0.6324664646584616, 0.4593788876534519, 0.5676053539874283, 0.414870318071745, 0.20251136086703198, 0.420289025557147, 0.07993243862512417, 0.5909634403284157, 0.5317144669251198, 0.6453692790631875, 0.3869324804749171, 0.4689234698263145, 0.4840851036689676, 0.26831225602130804, 0.5229698639673193, 0.7727386108975217, 0.17392040477703832], TOTAL_WINS: 249, WINS_PER_OPP: 31,22,18,13,19,7,15,15,19,21,19,9,13,11,17
1, 4, -1.0, [0.09707467815131793, 0.06910093190688395, 0.9870030892994736, 0.8374031771383766, 0.018078146481111335, 0.8934467365182708, 0.4546915328139749, 0.4412077215672511, 0.19700168864955214, 0.0875231601038865, 0.9856644669380331, 0.7361521776006335, 0.5873642927797162, 0.04993959250394209, 0.127708629449219, 0.5187313512509262, 0.15403021171840103, 0.9862203120192561, 0.8368682035292437, 0.052520946244321964, 0.9339029431547506], TOTAL_WINS: 1, WINS_PER_OPP: 0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1, 5, -122.0, [0.9089321311381722, 0.7812185397433405, 0.9998441780671605, 0.01851280047059911, 0.3457405320119954, 0.02772056564261438, 0.40502851541138696, 0.1229972251051662, 0.10892436752893453, 0.9622878155074397, 0.6149850623271966, 0.3102966692074689, 0.4586134664951217, 0.38889473184017487, 0.2669525679442373, 0.440950646371696, 0.6983559036332954, 0.22176045894519936, 0.02427753332624283, 0.5353429134786799, 0.4111563900266252], TOTAL_WINS: 122, WINS_PER_OPP: 14,4,12,5,7,10,5,4,8,9,9,6,10,9,8
1, 6, -253.0, [0.6384041620174845, 0.09981742906923985, 0.09670148328402972, 0.45149502171338096, 0.27170961428597895, 0.8138862544547188, 0.9148219458842616, 0.29405548996070496, 0.29311251822646367, 0.8880236912380801, 0.296553080148518, 0.9755909372649342, 0.062396896322271744, 0.422923572103696, 0.43419555595180837, 0.493305269656685, 0.6276632973068003, 0.36090640611852565, 0.18402295014968295, 0.04174835598629845, 0.1509139894838002], TOTAL_WINS: 253, WINS_PER_OPP: 35,10,14,14,26,20,15,15,17,25,16,9,15,11,11
1, 7, -449.0, [0.4361058737471415, 0.2932157731885404, 0.07765675894938162, 0.3618318374403157, 0.3570202490726642, 0.6686813788403985, 0.45860226419395134, 0.36317738711750275, 0.7475123272560179, 0.672843985250289, 0.5576719833401844, 0.22187701756498168, 0.3709815586534935, 0.41670024638620873, 0.0723862049589592, 0.3685869261082885, 0.005134144743192959, 0.3549876365854654, 0.1451079196500843, 0.19468257392348626, 0.9327533498752635], TOTAL_WINS: 449, WINS_PER_OPP: 46,25,27,31,36,34,20,21,26,43,22,19,28,34,37
2, 0, -219.0, [0.9168961177916155, 0.35146734153310555, 0.24879526360482584, 0.5889256020062581, 0.21665340039237738, 0.41179335677717266, 0.11916649691794601, 0.07697209862000476, 0.602422655046731, 0.3552690922118791, 0.1844776012543713, 0.22837526236717764, 0.19482658316943047, 0.2458290858912422, 0.626338824049453, 0.5199558572107292, 0.5332911594771044, 0.29360754372874287, 0.8029434044696613, 0.35376027258429243, 0.3370058406461546], TOTAL_WINS: 219, WINS_PER_OPP: 24,8,13,7,18,13,9,7,7,14,9,10,8,11,13
2, 1, -3.0, [0.01706921626353397, 0.7516935592117528, 0.39982279306162705, 0.12404499708260164, 0.2242205811629977, 0.7079100741993147, 0.17891260898390843, 0.8717461748566879, 0.2570786668704921, 0.7462458530557622, 0.6117470164076938, 0.2114920746223798, 0.6428951831009102, 0.061491405203388805, 0.0017927385891356867, 0.4061217232451139, 0.2943138270275414, 0.20258949034078144, 0.10094202420781484, 0.4643470160374581, 0.9674810714832183], TOTAL_WINS: 3, WINS_PER_OPP: 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2, 2, -210.0, [0.07211170398625577, 0.18431730380847433, 0.7271313039936015, 0.9644724658805189, 0.40643159240891863, 0.9552570620294627, 0.04984799021848796, 0.5025956585950491, 0.29268359855953235, 0.8749398717157332, 0.5455210026544867, 0.8188872258885226, 0.2827518963080651, 0.3888628488196041, 0.05282703672514372, 0.40258509610873106, 0.3133022901432507, 0.46595227471638584, 0.11896779418341591, 0.28714528249925986, 0.8302388887859454], TOTAL_WINS: 210, WINS_PER_OPP: 23,11,11,15,20,10,13,13,14,20,16,10,10,11,13
2, 3, -315.0, [0.6996412495269643, 0.49485610958122617, 0.29059226821240525, 0.5885249196859771, 0.6324664646584616, 0.4593788876534519, 0.5676053539874283, 0.4232473130452023, 0.6828597174392564, 0.43825293166510115, 0.07993243862512417, 0.05130476432313669, 0.6027773966582939, 0.6276232512046811, 0.061851370230807806, 0.4689234698263145, 0.2420425518344838, 0.06614007947082073, 0.5229698639673193, 0.5684096048170286, 0.17392040477703832], TOTAL_WINS: 315, WINS_PER_OPP: 45,15,22,16,29,20,16,17,10,34,24,15,15,16,21
2, 4, -1.0, [0.09707467815131793, 0.06910093190688395, 0.9870030892994736, 0.8374031771383766, 0.018078146481111335, 0.8934467365182708, 0.4546915328139749, 0.4412077215672511, 0.19700168864955214, 0.0875231601038865, 0.9856644669380331, 0.7361521776006335, 0.5873642927797162, 0.04993959250394209, 0.127708629449219, 0.5187313512509262, 0.15403021171840103, 0.9862203120192561, 0.8368682035292437, 0.052520946244321964, 0.9339029431547506], TOTAL_WINS: 1, WINS_PER_OPP: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2, 5, -160.0, [0.7816866330831675, 0.7812185397433405, 0.9998441780671605, 0.26483044608157025, 0.3457405320119954, 0.02772056564261438, 0.40502851541138696, 0.13483112360195165, 0.10892436752893453, 0.9622878155074397, 0.4098299675826612, 0.3102966692074689, 0.4586134664951217, 0.41383723517495363, 0.2657110671580019, 0.4175289923169579, 0.6983559036332954, 0.11088022947259968, 0.4032974615035213, 0.5206645615052237, 0.4111563900266252], TOTAL_WINS: 160, WINS_PER_OPP: 13,7,12,11,11,14,10,6,8,17,8,13,10,10,10
2, 6, -253.0, [0.6384041620174845, 0.09981742906923985, 0.09670148328402972, 0.45149502171338096, 0.27170961428597895, 0.8138862544547188, 0.9148219458842616, 0.29405548996070496, 0.29311251822646367, 0.8880236912380801, 0.296553080148518, 0.9755909372649342, 0.062396896322271744, 0.422923572103696, 0.43419555595180837, 0.493305269656685, 0.6276632973068003, 0.36090640611852565, 0.18402295014968295, 0.04174835598629845, 0.1509139894838002], TOTAL_WINS: 253, WINS_PER_OPP: 9,1,0,1,2,2,2,1,1,3,0,1,1,1,0
2, 7, -449.0, [0.4361058737471415, 0.2932157731885404, 0.07765675894938162, 0.3618318374403157, 0.3570202490726642, 0.6686813788403985, 0.45860226419395134, 0.36317738711750275, 0.7475123272560179, 0.672843985250289, 0.5576719833401844, 0.22187701756498168, 0.3709815586534935, 0.41670024638620873, 0.0723862049589592, 0.3685869261082885, 0.005134144743192959, 0.3549876365854654, 0.1451079196500843, 0.19468257392348626, 0.9327533498752635], TOTAL_WINS: 449, WINS_PER_OPP: 14,5,3,3,11,4,0,8,5,4,6,7,9,9,1
